NUM,GAL_L,GAL_B,P,SP,Q,SQ,U,SU,UF,DeltaLatitudeFINAL,DeltaLongitudeFINAL,AngleDEG,AngleRAD
7940795,36.51426630018179,0.007808787864289905,1.9811889999999999,0.7713745236396791,1.9603993455395143,0.7756719674183762,0.8227776637997262,0.7465091753106657,1,11.30912143519646,56.17029915961538,11.383872309745115,0.198686053431664
7944836,36.52129580551211,0.006487010302068811,1.119181,0.07837187498807907,0.4927324909747293,0.09436507141783668,1.0079301639344262,0.07404013311357165,1,30.340100030365,48.60436287993766,31.974017780479336,0.5580518853605739
7945703,36.50209527176688,-0.00437968283366984,2.70396,0.18253734707832334,2.353873559527372,0.18156842612428675,1.3431321691441764,0.18548159639345324,1,14.688793818348387,55.38144560984553,14.854649753423661,0.2592625474278067
7946513,36.50589400917785,-0.00337124057849608,1.159583,0.9942976832389832,0.8038958381092044,0.9851703428372902,1.2988508036939213,0.9977719818111996,1,27.884820085072754,50.05268855714023,29.122726233339222,0.5082874599286958
7946647,36.522732881489404,0.005134977500637229,2.4364619999999997,1.232731580734253,-2.5770343693412157,1.2486743661363382,0.9027009140175456,1.0941721803038729,1,56.48465930148717,9.606874993535262,80.34766004389428,1.402331214039047
7946740,36.51796779610039,0.002579946784993099,2.2316380000000002,0.5552905201911926,1.5369660950700426,0.5671622283934986,1.7106412454384743,0.5455186809979675,1,23.3322171448416,52.3300317258222,24.030570390889572,0.4194125744532838
7949575,36.53629618610583,0.008646641038386705,3.189526,1.1252198219299316,1.8892705044429463,1.181694578371958,2.805326102977723,1.0986493514911797,1,26.91700215080053,50.581346592714596,28.0206861148205,0.48905323137147555
7955926,36.53079427335098,-0.0037365686195579,1.952,0.436,1.7209999999999999,0.44,1.018,0.42200000000000004,1,15.121231955783815,55.264792919977985,15.302508798306086,0.26707916234584206
7959756,36.55267097511721,8.311054812993843E-4,0.87,0.35,0.545,0.348,0.763,0.35200000000000004,1,26.2174933660842,50.945570802407005,27.23116110401281,0.47527342040603754
7965637,36.56015512512835,-0.005310684769182879,1.63,0.431,0.88,0.408,1.439,0.44,1,28.01893168103052,49.978157865674426,29.276360838882724,0.5109688896404326
7967415,36.594424744485615,0.009206688567488384,1.849,0.47700000000000004,0.981,0.446,1.6380000000000001,0.488,1,28.249713463725673,49.849480108931594,29.54128089606176,0.5155926168927785
7968885,36.595330142641494,0.0070577595112335904,3.428,0.366,1.07,0.431,3.2769999999999997,0.358,1,33.644111922611884,46.37873678833003,35.95859975100019,0.6275959600617665
7968897,36.57694916974269,-0.0023968194571571,1.607216,0.9392431378364564,0.4923096618817857,0.9526428459588421,1.795258558251868,0.9382277901187208,1,34.74638301570265,45.557734146587876,37.33244710997728,0.6515741198957452
7969108,36.577983628473895,-0.0022069127181071,1.2220229999999999,1.525533676147461,0.4438946218051932,1.239406336047364,1.903563075131864,1.539569138193949,1,35.61801324531205,44.87954202541054,38.43684392335676,0.6708494805377505
7971450,36.577113038300794,-0.00683888237139777,5.0312470000000005,0.7588315010070801,3.0935493301744215,0.7840629405147368,4.039705767623293,0.7436369812464971,1,25.366214471126835,51.375918103984716,26.27781016764564,0.4586343076394595
7975619,36.598472616160564,-0.00324514407879849,1.69,1.6219999999999999,0.922,1.385,2.153,1.662,1,31.54751531531912,47.828701820353174,33.40873521046474,0.5830924283495704
7976123,36.62110027797733,0.007560608008029866,2.452,0.375,0.579,0.387,2.412,0.375,1,35.47208746202789,44.996145320675744,38.2507857309571,0.6676021524800673
7977658,36.60674915735858,-0.00253106381096248,1.321,0.262,0.7859999999999999,0.226,1.094,0.278,1,26.14712607967739,50.98186735151878,27.152050805258913,0.47389268522054573
7978214,36.632163722219076,0.009546246629682956,2.966,0.32,1.34,0.259,2.665,0.33399999999999996,1,30.067351307523648,48.77476321787861,31.65304898088751,0.5524499230115227
7978215,36.61066199614497,-0.00149518095599985,2.226,0.9990000000000001,2.435,0.998,0.16,1.2790000000000001,1,1.8793682080933176,57.265012496249085,1.8797053785121771,0.03280704782248376
7982180,36.642569524332316,0.0077748982470427705,3.662,0.424,0.426,0.568,3.661,0.42200000000000004,1,38.10100861827175,42.79287541359501,41.68140853032783,0.7274778157230714
7982352,36.62712705179935,-4.34094231254977E-4,2.479,1.5930000000000002,-0.028999999999999998,1.3419999999999999,2.947,1.5930000000000002,1,40.713077098738204,40.314414412500646,45.281900912050176,0.7903182624770988
7984291,36.646849118235174,0.00624857330006049,5.391,0.693,-0.38,0.6609999999999999,5.422000000000001,0.693,1,41.90655276077631,39.07309553522187,47.00450507866815,0.8203833768931555
7984579,36.652316383298825,0.008541607148554311,3.0639999999999996,0.423,0.7959999999999999,0.325,2.989,0.429,1,34.914228574194446,45.43075581053022,37.54383692872921,0.6552635682381605
7984978,36.653291009725145,0.008320414653468116,2.609,0.494,0.6,0.615,2.5860000000000003,0.48700000000000004,1,35.6429759669684,44.86116289886081,38.46871987199066,0.6714058207936086
7986485,36.64454540884964,0.001235623195559113,1.892,1.024,0.857,1.199,1.973,0.988,1,31.423924757532006,47.90977778384455,33.26080650349219,0.5805105853546816
