NUM,GAL_L,GAL_B,P,SP,Q,SQ,U,SU,UF,DeltaLatitudeFINAL,DeltaLongitudeFINAL,AngleDEG,AngleRAD
7639259,36.515199555030286,0.4951819409764817,3.198,1.274,0.7290000000000001,1.125,3.365,1.281,1,35.9703837202975,50.68576904958928,38.88811631130283,0.6787256695307465
7639601,36.523964392211646,0.4991883243430986,1.605,0.6940000000000001,1.673,0.685,0.51,0.785,1,8.445811836554201,64.54637730021085,8.476701188743835,0.14794634545129723
7641715,36.51168031884899,0.4896798322258466,4.444,1.643,4.0680000000000005,1.67,2.4290000000000003,1.5630000000000002,1,15.235198758793763,62.58825014408768,15.420698155055625,0.2691419557619357
7645119,36.5000720488432,0.4780339687583126,2.52507,1.2456523180007937,-0.13672602388046434,1.262012647738731,2.8122830705891007,1.2456134255788898,1,41.486261139122256,44.50755449684872,46.39169146640772,0.8096877616581711
7648889,36.51163530386992,0.4777383904842885,5.3660000000000005,0.83,1.2409999999999999,0.9390000000000001,5.2860000000000005,0.823,1,35.58439626694648,50.567815346989605,38.3939392146619,0.670100652106416
7649540,36.52912376265719,0.4856495812061156,4.109,1.6569999999999998,1.743,1.551,4.073,1.676,1,31.553569550393416,54.07731166828333,33.415988144678465,0.5832190159320305
7650813,36.53222590166222,0.4851537573823997,1.807,1.581,2.124,1.6030000000000002,-1.12,1.5,1,-13.765506030466456,62.87292921589232,-13.90149691547945,-0.2426268921309523
7650821,36.52144590716188,0.4796134959169863,5.3260000000000005,0.134,1.567,0.17600000000000002,5.092,0.129,1,34.03857782762184,51.95021359742778,36.44744949663383,0.6361279976706102
7652065,36.50414566696313,0.4686945897239289,2.0413360000000003,0.9574973583221436,1.186549482301738,0.9623375768230008,1.9172785967375252,0.9556369935829668,1,27.88584852768178,56.101935034160356,29.12390351461611,0.5083080073631996
7652543,36.516494873248185,0.4742386181693496,5.185,0.312,2.044,0.313,4.775,0.312,1,31.551089049658454,53.75888717022755,33.41301644770048,0.5831671500353931
7653193,36.50610466832632,0.4678638160064929,6.246886,1.2266134023666382,4.503069167663368,1.2229252166188505,4.500060414003778,1.2302952560059002,1,21.917300191653695,59.31211437809045,22.490426169127765,0.3925319868279746
7655483,36.515031931248274,0.4687374115426767,1.564,0.478,0.985,0.48700000000000004,1.306,0.47200000000000003,1,25.55450622245471,57.48128447678521,26.48799382842088,0.4623027045538823
7656976,36.536318186633146,0.477274837759291,3.0460000000000003,1.7069999999999999,2.256,1.7309999999999999,2.665,1.69,1,24.101402545888266,58.51964796400904,24.87555753729728,0.43416038229512965
7659307,36.55139532515847,0.4811418393589058,1.146,0.107,0.16899999999999998,0.13,1.138,0.107,1,37.42043536263234,48.944837381480326,40.7764802439112,0.7116838376306709
7660189,36.50542046443691,0.4561720512437478,2.924371,0.5774441957473755,0.3720725109146367,0.544845767056378,2.957524238170844,0.5779453645745298,1,37.901461300270725,47.862599263073626,41.41477612567743,0.722824202369412
7660699,36.514268377552106,0.4597928556275985,1.145,0.8140000000000001,0.385,0.639,1.351,0.8270000000000001,1,34.51891367070792,51.029940397184184,37.04691045835637,0.6465905651898403
7661901,36.5294499838577,0.4656015445130764,3.955,1.48,2.989,1.37,2.9819999999999998,1.5819999999999999,1,21.895113444000454,59.25481846535298,22.466415150489638,0.39211291549598154
7662515,36.57422049863446,0.4875507825629866,7.858,1.8730000000000002,6.627999999999999,1.9809999999999999,4.617,1.626,1,17.162730297911676,61.874273481256935,17.430346028177023,0.3042169279536054
7663868,36.510349551544905,0.4526114155238509,2.560258,0.9994242787361144,-1.563018989719251,0.918879061734996,2.260695762636582,1.0357158835236329,1,50.74314830971849,29.586218664355197,62.3297675166441,1.087859665168049
7663946,36.52936660578977,0.4622381418475161,5.575,1.4,1.105,1.208,5.641,1.4069999999999998,1,36.41249811378434,49.42399324968588,39.45841274154169,0.6886792199507848
7664534,36.60429126166271,0.4996553527300331,5.415,0.175,4.184,0.187,3.4410000000000003,0.155,1,19.33038424559889,61.448711885847494,19.71725972283436,0.34413110163432414
7665623,36.505395597950724,0.4471371986572859,4.4239999999999995,1.403,1.963,1.506,4.206,1.38,1,30.77693213257644,53.597114857610734,32.49043465427787,0.5670650601212144
7666048,36.524307427640046,0.4561648309419562,2.657,0.335,2.07,0.344,1.7,0.322,1,19.311667767420325,60.08717488784101,19.69737876676391,0.34378411349245047
7666390,36.5480609978062,0.4677606288861684,2.951,0.862,3.045,0.863,0.425,0.805,1,3.9696263066930713,64.03693261231652,3.972808980537486,0.06933859726317845
7667152,36.54803617208715,0.4664679008179912,4.6419999999999995,0.7240000000000001,2.523,0.64,3.963,0.755,1,27.566333935420484,56.23671098111849,28.758791573374847,0.5019356018501915
7668229,36.616738151274255,0.4999292648933197,4.363,1.334,3.701,1.405,2.667,1.185,1,17.599353591378588,62.12948245974278,17.888563338360935,0.3122143287059468
7668595,36.60588101532069,0.49375922803143,1.285,1.476,1.953,1.476,-0.12300000000000001,1.479,1,-1.8015681402743626,65.03544959069403,-1.8018651350808328,-0.031448479284052915
7671218,36.54080377679362,0.455919128770401,4.246,0.754,2.336,0.723,3.625,0.7659999999999999,1,27.427773643833493,56.0271013275298,28.600854799733174,0.4991790851401673
7671525,36.55900926420596,0.4647506574231281,7.019,1.75,4.261,1.651,5.846,1.8,1,25.972816748695045,57.130351960908726,26.95632436943261,0.47047661448218336
7674741,36.57683063298509,0.4685087233038575,2.8760000000000003,1.43,3.1489999999999996,1.422,-0.633,1.594,1,-5.673639451002346,63.899852252595004,-5.682952931984296,-0.09918623989899134
7674982,36.59757476730219,0.4787453589774479,1.014,0.966,0.675,0.991,-1.227,0.9590000000000001,1,-29.158964855147023,55.568350898556965,-30.591914448112494,-0.533929631607987
7675259,36.51308416533594,0.4349004259496045,1.714,0.779,-0.39799999999999996,0.8440000000000001,1.84,0.7759999999999999,1,44.59170960398682,39.67041276583494,51.102646343626034,0.8919094351785158
7676370,36.62497080703535,0.4904750221537557,4.336,1.409,3.714,1.2570000000000001,2.645,1.6680000000000001,1,17.447119701928536,61.868484448003294,17.728667748856626,0.3094236242096793
